country,country_code,region,city,id,osm_lat,osm_long,g_lat,g_long,distance
Argentina,AR,,Santa Rosa,90258,-28.0783724228439,-65.3349123418484,-36.6226883,-64.2859268,593.095763307052
Argentina,AR,,Santiago del Estero,90283,-27.6431016,-63.5408542,-27.78442,-64.2672806,45.4618053106509
Argentina,AR,,Tandil,90607,-37.317450532918,-59.1298547636638,-37.3178101,-59.1503906,1.1279118251111
Argentina,AR,,Tartagal,90625,-24.2231330879437,-62.1490518428798,-22.5203762,-63.7991066,157.346066503386
Argentina,AR,,Trelew,90784,-43.2535334,-65.3106947,-43.2491302,-65.3074036,0.346151530755987
Argentina,AR,,Tres Arroyos,90790,-38.3770869,-60.2753897,-38.3763123,-60.2781296,0.157653461889783
Argentina,AR,,Tucumán,90848,-26.5643582,-64.882397,-26.9468463,-65.2857082,36.2727560153399
Argentina,AR,,Ushuaia,90911,-54.8069332,-68.3073246,-54.7916794,-68.229248,3.28112066860328
Argentina,AR,,Veinticinco de Mayo,90956,-35.428056,-60.174167,-35.431931,-60.176701,0.303161859123564
Argentina,AR,,Venado Tuerto,90967,-33.7497151,-61.9669444,-33.75,-61.965641,0.0773694468092243
Argentina,AR,,Victoria,90994,-34.4501041,-58.534628,-34.4562893,-58.5466236,0.805486430602135
Argentina,AR,,Viedma,91000,-40.8124737,-62.9962234,-40.8119087,-62.9962044,0.0390231866685986
Argentina,AR,,Villa Carlos Paz,91055,-31.4216827,-64.4993289,-31.4209385,-64.5001297,0.0697604832133783
Argentina,AR,,Villa Constitución,91076,-33.233339,-60.3333378,-33.2336388,-60.3341713,0.0523986704389278
Argentina,AR,,Villa María,91226,-32.4100747,-63.2405625,-32.4104614,-63.243645,0.181652404655643
Argentina,AR,,Zárate,91476,-34.1017627,-59.0287794,-34.0988083,-59.0322914,0.286231785982261
Austria,AT,,Absam,91505,47.3345748220913,11.4983946894507,47.2970904,11.5117744,2.66282156900877
Austria,AT,,Abtenau,91514,47.5695442076012,13.3356170042106,47.564,13.34519,0.587734305335217
Austria,AT,,Altach,91714,47.3572061747788,9.64604131301783,47.35356,9.64996,0.311409113514008
Austria,AT,,Althofen,91782,46.6167284,14.5070007,46.86979,14.4767,17.5314137794437
Austria,AT,,Altmünster,91798,47.9016069,13.7652213,47.90109,13.76722,0.0991620930427377
Austria,AT,,Amstetten,91863,48.1203262,14.8752424,48.12502,14.86934,0.423129280599698
Austria,AT,,Anif,91899,47.7489619,13.0626582,47.75149,13.06491,0.203461808366194
