country,country_code,region,city,id,lat,long,lat,lng
Austria,AT,,Traun,104376,48.2211607,,48.2211607,14.2370272
Austria,AT,,Trofaiach,104421,47.42587,,47.42587,15.00934
Austria,AT,,Tulln,104465,48.33163,,48.33163,16.06074
Austria,AT,,Velden am Wörthersee,105124,46.6245592,,46.6245592,14.154422
Austria,AT,,Vienna,105166,48.2081743,,48.2081743,16.3738189
Austria,AT,,Villach,105176,46.60856,,46.60856,13.85062
Austria,AT,,Voitsberg,105206,47.0504,,47.0504,15.14661
Austria,AT,,Vomp,105231,47.3442896,,47.3442896,11.6885596
Austria,AT,,Vorchdorf,105235,48.00339,,48.00339,13.92583
Austria,AT,,Vöcklabruck,105188,48.00334,,48.00334,13.65613
Austria,AT,,Vöcklamarkt,105190,48.00161,,48.00161,13.48283
Austria,AT,,Völkermarkt,105218,46.66207,,46.66207,14.63359
Austria,AT,,Völs,105228,47.25187,,47.25187,11.32862
Austria,AT,,Waidhofen,105360,47.96023,,47.96023,14.77283
Austria,AT,,Wattens,105515,47.29479,,47.29479,11.58935
Austria,AT,,Weiz,105711,47.21717,,47.21717,15.62297
Austria,AT,,Wels,105715,48.16542,,48.16542,14.03664
Austria,AT,,Wernberg,105750,46.62427,,46.62427,13.94111
Austria,AT,,Wiener Neudorf,105827,48.0853521,,48.0853521,16.3198999
Austria,AT,,Wiener Neustadt,105828,47.80279,,47.80279,16.23318
Austria,AT,,Wilhelmsburg,105915,48.10511,,48.10511,15.5999
Austria,AT,,Wolfsberg,106113,46.8401,,46.8401,14.84277
Austria,AT,,Wolfurt,106129,47.4666667,,47.4666667,9.9
Austria,AT,,Wolkersdorf,106134,48.3845,,48.3845,16.5148
Austria,AT,,Wörgl,106162,47.48554,,47.48554,12.06448
Austria,AT,,Ybbs,106231,48.17645,,48.17645,15.08266
Austria,AT,,Zell am See,106307,47.32352,,47.32352,12.79685
Austria,AT,,Zeltweg,106337,47.18964,,47.18964,14.75283
Austria,AT,,Zirl,106386,47.2743,,47.2743,11.23806
Austria,AT,,Zistersdorf,106390,48.5423,,48.5423,16.76059
Austria,AT,,Zwettl,106457,48.6058022,,48.6058022,15.1662133
Australia,AU,Australian Capital Territory,Braddon,2673614,-35.263432,,-35.263432,149.133064
Australia,AU,Australian Capital Territory,Calwell,2673703,-35.4356544,,-35.4356544,149.1127341
Australia,AU,Australian Capital Territory,Canberra,108111,-35.2819998,,-35.2819998,149.1286843
Australia,AU,Australian Capital Territory,Conder,2675066,-35.456673,,-35.456673,149.0935008
Australia,AU,Australian Capital Territory,Dickson,2673639,-35.2506967,,-35.2506967,149.1405356
Australia,AU,Australian Capital Territory,Gungahlin,2674216,-35.1847075,,-35.1847075,149.1325384
Australia,AU,Australian Capital Territory,Macquarie,2673719,-35.2477877,,-35.2477877,149.0593653
Australia,AU,Australian Capital Territory,Rivett,2674169,-35.3474202,,-35.3474202,149.0358822
Australia,AU,Australian Capital Territory,Wanniassa,2673590,-35.4016906,,-35.4016906,149.0987563
Australia,AU,New South Wales,Adamstown,2673603,-32.9369086,,-32.9369086,151.7253137
Australia,AU,New South Wales,Albury,106523,-36.0807785,,-36.0807785,146.9164693
Australia,AU,New South Wales,Armidale,106691,-30.5143425,,-30.5143425,151.6669644
Australia,AU,New South Wales,Ashtonfield,2673578,-32.7732038,,-32.7732038,151.6073045
Australia,AU,New South Wales,Ballina,106865,-28.8684827,,-28.8684827,153.560001
Australia,AU,New South Wales,Batemans Bay,107003,-35.7084199,,-35.7084199,150.1776133
Australia,AU,New South Wales,Belmore South,2673609,-33.9179852,,-33.9179852,151.088586
Australia,AU,New South Wales,Beverly Hills,2673592,-33.9510131,,-33.9510131,151.0823723
Australia,AU,New South Wales,Bidwill,2673610,-33.7321233,,-33.7321233,150.8225092
Australia,AU,New South Wales,Birrong,2673611,-33.890626,,-33.890626,151.0223952
Australia,AU,New South Wales,Booragul,2673612,-32.9743023,,-32.9743023,151.6087461
Australia,AU,New South Wales,Bowral,107575,-34.4791552,,-34.4791552,150.4177969
Australia,AU,New South Wales,Broadmeadow,2673619,-32.9236287,,-32.9236287,151.729021
Australia,AU,New South Wales,Broken Hill,107705,-31.9558583,,-31.9558583,141.4651361
Australia,AU,New South Wales,Buronga,2673622,-34.1698523,,-34.1698523,142.1834753
Australia,AU,New South Wales,Busby,2673623,-33.9106663,,-33.9106663,150.8767705
Australia,AU,New South Wales,Byron Bay,108018,-28.6441616,,-28.6441616,153.6123788
Australia,AU,New South Wales,Cabramatta,2673589,-33.895169,,-33.895169,150.9365308
Australia,AU,New South Wales,Casino,108242,-28.8642401,,-28.8642401,153.0456834
Australia,AU,New South Wales,Cecil Hills,2673704,-33.8871161,,-33.8871161,150.8485907
Australia,AU,New South Wales,Cessnock,108290,-32.8345782,,-32.8345782,151.3564619
Australia,AU,New South Wales,Cherrybrook,2673574,-33.7210747,,-33.7210747,151.0438446
Australia,AU,New South Wales,Chester Hill,2675078,-33.8830809,,-33.8830809,151.0012741
Australia,AU,New South Wales,Clarenza,2673631,-29.7204197,,-29.7204197,152.9638506
Australia,AU,New South Wales,Coffs Harbour,108499,-30.2963121,,-30.2963121,153.1156722
Australia,AU,New South Wales,Cooma,108636,-36.2352845,,-36.2352845,149.1252802
Australia,AU,New South Wales,Cootamundra,108676,-34.6389301,,-34.6389301,148.0243821
Australia,AU,New South Wales,Corowa,108729,-35.9975292,,-35.9975292,146.3912105
Australia,AU,New South Wales,Cowra,108770,-33.8347103,,-33.8347103,148.6912183
Australia,AU,New South Wales,Darlinghurst,2673636,-33.8806799,,-33.8806799,151.2186198
Australia,AU,New South Wales,Dee Why,2673637,-33.7535622,,-33.7535622,151.2861399
Australia,AU,New South Wales,Deniliquin,109073,-35.52314,,-35.52314,144.9823858
Australia,AU,New South Wales,Dubbo,109246,-32.2438146,,-32.2438146,148.6094976
Australia,AU,New South Wales,Eagle Vale,2673641,-34.0311407,,-34.0311407,150.8158633
Australia,AU,New South Wales,Erskine Park,2673646,-33.8048794,,-33.8048794,150.8036923
Australia,AU,New South Wales,Five Dock,2673648,-33.8674861,,-33.8674861,151.1300906
Australia,AU,New South Wales,Forbes,109721,-33.3853703,,-33.3853703,148.0080124
Australia,AU,New South Wales,Frenchs Forest,2673652,-33.7500484,,-33.7500484,151.2262442
Australia,AU,New South Wales,Glebe,2674413,-33.8811282,,-33.8811282,151.1883183
Australia,AU,New South Wales,Glenmore Park,2673657,-33.7819733,,-33.7819733,150.6658699
Australia,AU,New South Wales,Goulburn,110168,-34.7548346,,-34.7548346,149.7186486
Australia,AU,New South Wales,Grafton,110194,-29.6911226,,-29.6911226,152.9331993
Australia,AU,New South Wales,Greystanes,2673662,-33.829593,,-33.829593,150.9529029
Australia,AU,New South Wales,Griffith,110285,-34.2872974,,-34.2872974,146.0458369
Australia,AU,New South Wales,Gunnedah,110341,-30.97681,,-30.97681,150.2516925
Australia,AU,New South Wales,Harden,2673663,-34.5537055,,-34.5537055,148.3651795
Australia,AU,New South Wales,Hawkesbury,2674219,-33.5535705,,-33.5535705,151.2393885
Australia,AU,New South Wales,Hoxton Park,2673669,-33.9271427,,-33.9271427,150.8578189
Australia,AU,New South Wales,Inverell,110741,-29.7762792,,-29.7762792,151.1134357
Australia,AU,New South Wales,Jesmond,2673591,-32.9025718,,-32.9025718,151.6909085
Australia,AU,New South Wales,Kellyville,2674127,-33.7121854,,-33.7121854,150.9575318
Australia,AU,New South Wales,Kemps Creek,2674128,-33.8799928,,-33.8799928,150.7887647
Australia,AU,New South Wales,Kempsey,111065,-31.0800609,,-31.0800609,152.8415928
Australia,AU,New South Wales,Kiama,111119,-34.6702661,,-34.6702661,150.8543867
Australia,AU,New South Wales,Kingsgrove,2673588,-33.9421744,,-33.9421744,151.1014508
Australia,AU,New South Wales,Kurri Kurri,111399,-32.8171902,,-32.8171902,151.4837321
Australia,AU,New South Wales,Lake Munmorah,2675064,-33.1941119,,-33.1941119,151.5703578
Australia,AU,New South Wales,Leeton,111591,-34.5513933,,-34.5513933,146.4066521
